contract,found vulnerablities,code_coverage,branch_coverage
./chy_data/regen_return_ue/Ethsplit.sol,[],76.51663405088063,82.5
./chy_data/regen_return_ue/TranferInTwoPart.sol,[],52.57731958762887,40
./chy_data/regen_return_ue/0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,[],98.47715736040608,88.46153846153845
./chy_data/regen_return_ue/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,[],89.23988153998026,81.81818181818183
./chy_data/regen_return_ue/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,"[{""type"":""Unhandled exception "",""txs"":[{""command(address,bytes)"":{""argtype"":[""uint160"",""bytes""],""argdata"":[""996045349416610816171957365280881591490238727965"",""bytearray(b'\\x91\\xa3\\xcaq\\xe16\\x05\\xb3\\x12Q\\x1b\\xb1tk\\xc7C\\xc9GS\\xabc=)*j\\xa7\\n\\xab\\xceX\\xc0\\xa7^')""]}}],""pc"":1338}]",89.35611038107753,92.5
./chy_data/regen_return_ue/0x524960d55174d912768678d8c606b4d50b79d7b1.sol,[],96.7741935483871,88.88888888888889
./chy_data/regen_return_ue/SafeConditionalHFTransfer.sol,"[{""type"":""Leaking ether "",""txs"":[{""transfer(address,uint256)"":{""argtype"":[""address"",""uint256""],""argdata"":[""0xcafebabecafebabecafebabecafebabecafebabe"",""1""]}}],""pc"":329}]",74.76099426386233,76.31578947368422
./chy_data/regen_return_ue/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,[],95.75113808801214,86.36363636363636
./chy_data/regen_return_ue/unhandledException.sol,"[{""type"":""Transaction order dependency "",""txs"":[{""withdraw(uint256)"":{""argtype"":[""uint256""],""argdata"":[""1""]}},{""withdraw(uint256)"":{""argtype"":[""uint256""],""argdata"":[""1""]}},{""deposit()"":{""argtype"":[],""argdata"":[]}},{""withdraw(uint256)"":{""argtype"":[""uint256""],""argdata"":[""1""]}},{""withdraw(uint256)"":{""argtype"":[""uint256""],""argdata"":[""1""]}},{""deposit()"":{""argtype"":[],""argdata"":[]}},{""withdraw(uint256)"":{""argtype"":[""uint256""],""argdata"":[""1""]}}],""pc"":688}]",86.79706601466992,88.88888888888889
./chy_data/regen_return_ue/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,"[{""type"":""Unhandled exception "",""txs"":[{""getTokens(address,uint256)"":{""argtype"":[""address"",""uint256""],""argdata"":[""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef"",""1""]}}],""pc"":845}]",86.18968386023295,88.23529411764706
